current_month_date,monthly_cash_data,monthly_demand_data,monthly_supply_data
01/2016,-0.1373804646895744,63.72991557849772,39907.57525852223
02/2016,-0.7624458472560756,339.88438443702984,45479.45209822663
03/2016,-1.6740477791258694,370.231225103667,42322.388034124175
04/2016,-2.4658657554421084,516.4012593713791,27944.248568468956
05/2016,8.5351317597183,493.10210391696177,17421.86448368193
06/2016,41.2700611781325,308.16226711640866,10499.323969941373
07/2016,48.19171407247978,376.70546795906273,6412.273752909673
08/2016,46.88439163843272,450.7668946694519,4209.092215442388
09/2016,46.27646189123662,375.16414548207376,4919.588225028504
10/2016,71.52990828648208,219.604037072991,18313.48270767328
11/2016,109.59257015918651,251.79720459455837,31985.377744522564
12/2016,113.34188732871293,376.03569795695813,43775.22983599077
01/2017,112.89187432609097,420.943959942839,42402.73616586178
02/2017,102.37872777628114,221.40079694765492,43182.20365462093
03/2017,115.17808210526962,177.27200032613328,40188.449116537966
04/2017,112.51387765793066,273.273767691827,26343.972056478968
05/2017,115.1792786507991,305.19053318537806,16496.908115345916
06/2017,109.40274087026488,366.35496222379066,9738.661393424605
07/2017,117.27376468097286,266.155694834719,6163.595595779707
08/2017,147.9598081539181,176.6087084843788,4390.184434936591
09/2017,158.9199244675627,298.9776651856179,6975.149547586974
10/2017,166.487118201625,471.52787873095116,20490.956566772475
11/2017,160.76477752073822,330.21939394174575,34043.53178793767
12/2017,166.07930593268665,219.82536819129368,43387.37477691784
01/2018,167.6839224556397,239.1227290443018,43795.59722429752
02/2018,150.9682799517159,214.02585088807157,42131.97086370452
03/2018,166.68153246343093,294.62510669716323,37967.00900932239
04/2018,160.49456014353234,274.1996521170986,24528.458736190256
05/2018,216.00866387565338,254.96440946531345,15449.519191253674
06/2018,220.081271668671,306.6289391397295,9083.541640523685
07/2018,226.80767320470537,353.3131232553201,5714.08560858954
08/2018,226.75099772396243,384.15659647444323,4131.927367520712
09/2018,221.32971905887163,197.08424559448326,9069.770628682665
10/2018,318.50302812677313,234.14967459257304,23130.58915862996
11/2018,312.3853625448404,165.75992051439252,36294.54824530716
12/2018,322.01271020741683,352.8064758943922,42722.33806012332
01/2019,323.04645853385625,294.9294036800335,44984.84378131524
02/2019,292.6348129319599,136.41746795531145,41159.893686149706
03/2019,327.08558016604894,169.27249624380718,35965.189081703444
04/2019,313.8746954157443,228.37970794266775,22755.959105512295
05/2019,323.5398886453567,310.94058830071754,14293.147481514616
06/2019,311.2165487344855,381.71740369385435,8315.10678780631
07/2019,372.63724063585323,208.3101106468416,5496.637089710869
08/2019,390.12165191937805,194.14570152597204,4077.4350981412604
01/2016,7.433399349523575,170.00176413173142,39953.50364092614
02/2016,6.153709562961235,353.1686091569751,45464.12110253686
03/2016,5.721983391818068,450.5008799557584,42250.99869851419
04/2016,4.694698043548039,441.43888957475264,28019.70448008846
05/2016,10.334149374962838,311.68713068034026,17589.325784498153
06/2016,8.781329234822065,361.04195028892997,10450.459299683931
07/2016,7.216392741692281,503.4178639258169,6300.806622953471
08/2016,10.58383959910113,228.2217125960261,4429.528280217636
09/2016,55.10692703687448,263.48242681926746,5005.291157881592
10/2016,75.75754768824662,377.0384064460534,18172.859502283034
11/2016,72.53638404677176,378.8823309949288,31867.22468851235
12/2016,74.15081297938058,413.38875831089246,43749.47061854409
01/2017,76.22969370137659,293.0757542169046,42520.75517860572
02/2017,69.11818727365865,233.91197529297648,43168.21790922403
03/2017,75.88340681715894,377.9640222624908,40006.524807357964
04/2017,72.79461470463124,399.95120819873415,26223.782432428514
05/2017,84.88016120159189,363.05208410389423,16451.82861745585
06/2017,102.03193418194681,229.32530135074876,9860.466379938127
07/2017,105.56051416811465,273.718254100311,6153.840629793306
08/2017,103.50414272952302,478.4552714491595,4108.566124376281
09/2017,99.59362008007652,243.38600854079104,7038.503964270205
10/2017,122.85286709286643,215.82983386994164,20724.705654496633
11/2017,141.9186785897067,212.0237584079787,34146.51707823449
12/2017,145.670464342966,257.52036889560816,43349.608020174426
01/2018,145.12873855503187,305.46168234680886,43738.573022541044
02/2018,131.39869443776536,155.18489760622145,42190.52970336956
03/2018,147.88855341485092,124.92631705465273,38119.584296867164
04/2018,142.92896615076933,186.107269502088,24609.423735658263
05/2018,144.17172561197484,324.11535981401147,15381.199047280428
06/2018,136.12690315699055,392.93153069789753,9001.992563705026
07/2018,147.09144283534025,343.40199872090915,5735.718197601668
08/2018,170.60678014003233,144.41517803931194,4338.945495244165
09/2018,179.45815208672673,346.1848634714065,8926.514274438343
10/2018,184.63693532847134,344.85013969712196,23030.437120739607
11/2018,177.90390977911989,260.41332615810495,36213.756071330696
12/2018,184.03232601015333,293.8601117112816,42777.69070672554
01/2019,185.967170546035,281.2546729751918,44991.080414914286
02/2019,167.39211918190966,279.7071045035043,41026.62855382416
03/2019,184.68689646444676,278.2776456408731,35867.8605746532
04/2019,178.44774519789,316.3263202594023,22674.434481200715
05/2019,219.0315200083297,225.26431499627512,14379.16650618665
06/2019,219.6627769945065,273.71795434989235,8410.89082290234
07/2019,224.96191119632329,363.852879293804,5348.175209553036
08/2019,215.89270144666494,388.37166192490787,3910.39699057331
